Genus	SMPL0	SMPL1	SMPL10	SMPL11	SMPL12	SMPL13	SMPL14	SMPL15	SMPL16	SMPL17	SMPL18	SMPL19	SMPL2	SMPL20	SMPL21	SMPL22	SMPL23	SMPL24	SMPL25	SMPL26	SMPL27	SMPL28	SMPL29	SMPL3	SMPL30	SMPL31	SMPL32	SMPL33	SMPL34	SMPL35	SMPL36	SMPL37	SMPL38	SMPL39	SMPL4	SMPL40	SMPL41	SMPL42	SMPL43	SMPL44	SMPL45	SMPL46	SMPL47	SMPL48	SMPL49	SMPL5	SMPL50	SMPL51	SMPL52	SMPL53	SMPL54	SMPL55	SMPL56	SMPL57	SMPL58	SMPL59	SMPL6	SMPL60	SMPL61	SMPL62	SMPL63	SMPL64	SMPL65	SMPL66	SMPL67	SMPL68	SMPL69	SMPL7	SMPL70	SMPL71	SMPL72	SMPL73	SMPL74	SMPL8	SMPL9
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Frisingicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	25	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Fusicatenibacter	3	1	0	0	0	10	0	2	0	0	0	0	0	0	0	0	0	0	0	8	14	15	16	2	0	5	4	5	4	18	11	7	3	9	0	1	0	11	16	1	2	0	12	0	21	1	2	2	18	15	5	3	17	2	59	8	1	2	1	12	1	446	0	2	4	8	4	1	5	0	2	1	0	4	2
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;GCA-900066575	7	0	0	0	0	0	0	2	77	0	1	0	1	0	4	0	0	0	0	1	11	0	21	0	0	8	9	1	11	94	2	29	3	0	0	0	0	0	12	29	3	0	0	77	0	1	0	6	0	19	57	0	1	21	0	2	1	6	0	6	0	0	75	1	1	1	6	7	0	2	4	2	0	11	3
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;GCA-900066755	92	47	0	0	0	195	38	44	17	0	15	0	33	0	4	0	0	0	1	34	7	7	8	157	1	7	1	152	97	11	6	147	13	1	0	0	0	1	8	5	66	0	26	0	13	97	11	14	9	29	17	0	14	8	8	37	273	29	24	3	55	68	18	28	35	14	88	13	100	11	7	11	8	113	99
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Howardella	1648	1276	0	105	0	8959	27	3187	14	3	1010	0	108	0	213	19	0	0	1	28	2039	2264	1761	2384	19	737	445	333	256	2908	704	527	261	57	0	203	2	1702	2196	699	695	0	3287	13	3843	2386	310	95	4963	920	598	381	1610	17	12616	644	2580	2604	2804	1556	720	4416	1639	396	5909	4486	5894	387	6496	316	937	1566	625	5357	3057
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Hungatella	0	3	0	0	0	0	0	11	5	0	13	0	1	0	0	0	0	0	0	0	5	0	4	1	0	2	45	3	13	0	22	1	1	0	0	0	0	0	7	83	6	0	0	0	1	13	467	0	0	0	2	7	0	36	0	3	0	53	1	10	1	5	2	238	2	228	12	126	0	44	6	3	2	2	3
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium	2041	729	0	0	9	881	687	1175	849	3	1513	0	872	0	474	10	0	0	3	109	901	243	506	1871	0	884	1707	517	1774	815	504	1508	640	5853	0	53	1	156	1529	1177	929	0	1015	8070	461	1310	2484	341	236	435	180	54	841	862	203	1401	661	1980	1278	11213	2561	2453	1479	14901	850	685	2410	1052	2194	1103	1518	2695	993	1304	1346
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospira	1	1	0	0	0	1	0	0	0	0	1	0	143	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	8	0	0	0	1	0	6	167	119	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae FCS020 group	2	35	0	0	0	208	0	104	2	0	23	0	0	0	2	0	0	0	0	0	88	1	3	38	0	66	1	0	15	0	0	15	30	0	0	0	0	0	8	6	55	0	0	0	97	14	0	0	0	254	1	1	0	19	0	29	3	85	69	153	22	114	39	16	2	74	80	0	0	8	39	7	53	6	67
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NC2004 group	1	197	0	0	0	85	7	113	6	0	0	0	22	0	3	0	0	0	0	18	293	80	11752	29	0	152	27	66	232	330	196	12	60	237	0	35	0	183	73	26	54	0	616	42	262	0	5	84	18	158	20	20	0	63	20	635	2	27	243	14	314	60	226	25	33	73	239	43	95	58	38	750	24	174	1939
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae ND3007 group	1337	843	0	125	0	2501	17	45	17	0	274	0	75	0	81	0	0	0	0	1	680	11	276	1538	1	14	149	23	76	1037	155	51	184	15	0	7	0	136	285	228	1185	0	316	41	442	328	11	55	388	100	97	0	22	1800	63	602	2896	771	1845	736	617	2216	573	29	2154	507	815	35	606	422	328	797	1306	1238	908
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK3A20 group	9	0	0	0	0	0	11	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group	242	14774	0	545	1	798	157	8	575	0	157	0	12	0	440	0	0	0	0	1154	9139	8	11	158	0	922	964	7	728	56	284	149	5	23	0	2593	0	19	191	17	1665	0	479	21	5006	55	519	1968	232	55	0	0	9	8	19	4268	19	693	8848	152	1853	2354	3317	905	290	1361	448	227	226	99	4601	2213	5868	19037	307
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-001	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	2	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	162	1	0	0	10	4	0	0	1	0	1	0	0	4	1	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-004	2	1275	0	25	0	4	12	0	258	0	9	0	0	0	2	0	0	0	0	7	32	5	0	0	0	58	6	1	2	6	118	0	12	76	0	9	0	24	411	2	16	0	0	31	684	9	4	65	38	7	7511	7	2	6	21	2	3	3456	8	11	23	18	0	6	32	0	0	12318	5	5	1	2654	9	1	24
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-008	0	5	0	77	0	9	4	1	0	0	0	0	2	0	1	0	0	0	1	29	8	12	4	2	0	12	2	96	40	36	9	101	7	13	0	6	0	47	8	3	18	0	18	38	18	0	22	15	4	13	13	3	14	20	12	20	2	4	1	2	4	20	1	0	4	2	7	1	2	1	4	9	2	2	3
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-010	9	4	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	399	2	4	15	0	2	8	1	5	27	3	117	12	2	0	0	0	0	3	7	0	0	11	0	5	0	0	16	0	1	24	0	0	9	0	2	67	1	23	2	6	0	28	16	13	15	1	45	27	12	10	25	10	14	2
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia	1	26	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Moryella	13	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	9	25	0	19	0	0	12	0	115	188	22	0	0	3	0	0	34	29	15	0	19	0	21	2	13	5	0	0	0	0	0	0	0	39	0	9	32	59	19	29	9	18	12	21	74	17	29	7	21	64	5	0	4
